NAME                                           DISPLAY NAME                                                          DEFAULT CHANNEL
abinitio-runtime-operator                      Co>Operating System Runtime Operator                                  stable
acc-operator                                   netapp-acc-operator                                                   stable
aci-containers-operator                        Cisco ACI Containers Operator                                         stable
aikit-operator                                 Intel® oneAPI AI Analytics Toolkit Operator                           alpha
ako-operator                                   AKO Operator                                                          stable
alloy                                          Alloy                                                                 alpha
anchore-engine                                 Anchore Engine Operator                                               alpha
antrea-operator-for-kubernetes                 Antrea Operator                                                       alpha
anzo-operator                                  Anzo Operator                                                         stable
anzograph-operator                             AnzoGraph Operator                                                    stable
anzounstructured-operator                      Anzo Unstructured Operator                                            stable
app-director-operator                          App Director                                                          stable
appdynamics-operator                           AppDynamics Operator for Kubernetes                                   alpha
aqua-operator-certified                        Aqua Security Operator                                                2022.4
bookkeeper-operator                            BookKeeper Operator                                                   alpha
cass-operator                                  DataStax Kubernetes Operator for Apache Cassandra                     stable
ccm-node-agent-dcap-operator                   CCM Node Agent DCAP Operator                                          alpha
ccm-node-agent-operator                        CCM Node Agent Operator                                               alpha
cilium                                         Cilium                                                                1.14
cilium-enterprise                              Cilium Enterprise                                                     1.14
citrix-adc-istio-ingress-gateway-operator      Citrix ADC Istio Ingress Gateway Operator                             alpha
citrix-cpx-istio-sidecar-injector-operator     Citrix ADC CPX Istio Sidecar Injector Operator                        alpha
citrix-cpx-with-ingress-controller-operator    Citrix ADC CPX with Ingress Controller                                stable
citrix-ingress-controller-operator             Citrix Ingress Controller                                             stable
cloud-native-postgresql                        EDB Postgres for Kubernetes                                           stable-v1.21
cloudbees-ci                                   CloudBees CI                                                          alpha
cloudcasa-operator                             CloudCasa                                                             alpha
cnfv-operator                                  CloudNFV                                                              alpha
cockroachdb-certified                          CockroachDB Operator                                                  stable
confluent-for-kubernetes                       Confluent for Kubernetes                                              2.7
conjur-follower-operator                       Conjur Enterprise Follower Operator                                   stable
contrail-k8s-deployer                          contrail-k8s-deployer                                                 23.1.0
