NAME                                                 DISPLAY NAME                                                          DEFAULT CHANNEL
abinitio-runtime-operator                            Co>Operating System Runtime Operator                                  release-4.3
acc-operator                                         netapp-acc-operator                                                   stable
accuknox-operator-certified                          Accuknox Operator                                                     stable
aci-containers-operator                              Cisco ACI Containers Operator                                         stable
aikit-operator                                       Intel® oneAPI AI Analytics Toolkit Operator                           alpha
aiu-operator                                         AIU Operator                                                          stable-2.1
ako-operator                                         AKO Operator                                                          stable
alloy                                                Alloy                                                                 alpha
anchore-engine                                       Anchore Engine Operator                                               alpha
anzo-operator                                        Anzo Operator                                                         stable
anzograph-operator                                   AnzoGraph Operator                                                    stable
anzounstructured-operator                            Anzo Unstructured Operator                                            stable
app-insights-operator                                App Insights                                                          stable
appdynamics-cloud-operator                           Cisco AppDynamics Cloud Operator                                      alpha
appdynamics-operator                                 AppDynamics Operator for Kubernetes                                   alpha
aqua-operator-certified                              Aqua Security Operator                                                2022.4
bookkeeper-operator                                  BookKeeper Operator                                                   alpha
cass-operator                                        DataStax Kubernetes Operator for Apache Cassandra                     stable
ccm-node-agent-dcap-operator                         CCM Node Agent DCAP Operator                                          alpha
ccm-node-agent-operator                              CCM Node Agent Operator                                               alpha
cilium                                               Cilium                                                                1.15
cilium-enterprise                                    Isovalent Enterprise for Cilium                                       1.15
cloud-native-postgresql                              EDB Postgres for Kubernetes                                           stable-v1.24
cloudbees-ci                                         CloudBees CI                                                          alpha
cloudnative-pg                                       CloudNativePG                                                         stable-v1
cnfv-operator                                        CloudNFV                                                              alpha
cockroachdb-certified                                CockroachDB Operator                                                  stable
confluent-for-kubernetes                             Confluent for Kubernetes                                              2.9
conjur-follower-operator                             Conjur Enterprise Follower Operator                                   stable
couchbase-enterprise-certified                       Couchbase Operator                                                    stable
crunchy-postgres-operator                            Crunchy Postgres for Kubernetes                                       v5
cte-k8s-operator                                     CipherTrust Transparent Encryption for Kubernetes (CTE-K8s) Operator  stable
datadog-operator-certified                           Datadog Operator                                                      stable
dell-csm-operator-certified                          Dell Container Storage Modules                                        stable
digitalai-deploy-operator                            Digital.ai Deploy                                                     stable
digitalai-release-operator                           Digital.ai Release                                                    stable
dynatrace-operator                                   Dynatrace Operator                                                    alpha
eginnovations-operator                               eG Innovations Universal Agent Operator                               beta
elasticsearch-eck-operator-certified                 Elasticsearch (ECK) Operator                                          stable
exascaler-csi-driver-operator                        EXAScaler CSI File Driver                                             alpha
f5-bigip-ctlr-operator                               F5 Container Ingress Services                                         stable
f5-ipam-controller-operator                          F5 Ipam controller                                                    stable
falcon-operator                                      CrowdStrike Falcon Platform - Operator                                certified-1.0
federatorai-certified                                Federator.ai                                                          stable
fujitsu-enterprise-operator                          FUJITSU Enterprise Postgres 13 Operator                               stable-13
fujitsu-enterprise-postgres-operator                 Fujitsu Enterprise Postgres Operator                                  stable
fujitsu-enterprise-postgres-operator-with-cg-module  Fujitsu Enterprise Postgres Operator with Cryptographic Module        stable
function-mesh                                        Function Mesh Operator                                                alpha
gaudi-ai-sw-tools-operator                           Intel® Gaudi AI SW Tools Operator                                     alpha
gitlab-operator-kubernetes                           GitLab                                                                stable
gitlab-runner-operator                               GitLab Runner                                                         stable
gpu-operator-certified                               NVIDIA GPU Operator                                                   v24.6
habana-ai-operator                                   Intel Gaudi AI accelerator                                            stable
hazelcast-platform-operator                          Hazelcast Platform Operator                                           alpha
hpe-csi-operator                                     HPE CSI Operator for Kubernetes                                       stable
hpe-ezmeral-csi-operator                             HPE Ezmeral Data Fabric CSI Operator for Kubernetes                   stable
hspc-operator                                        Hitachi Storage Plug-in for Containers                                stable
ibm-application-gateway-operator                     IBM Application Gateway Operator                                      stable
ibm-block-csi-operator                               IBM block storage CSI driver operator                                 stable
ibm-data-reporter-operator                           IBM Data Reporter Operator                                            stable
ibm-metrics-operator                                 IBM Metrics Operator                                                  stable
ibm-security-verify-access-operator                  IBM Security Verify Access Operator                                   stable
ibm-security-verify-directory-operator               IBM Security Verify Directory                                         stable
ibm-security-verify-operator                         IBM Security Verify Operator                                          stable
ibm-storage-odf-operator                             IBM Storage ODF operator                                              stable-v1.5
infinibox-operator-certified                         InfiniBox CSI Driver - Operator                                       stable
infoscale-dr-manager                                 InfoScale™ DR Manager                                                 fast
infoscale-licensing-operator                         InfoScale™ Licensing Operator                                         fast
infoscale-operator                                   InfoScale™ SDS Operator                                               stable
infoscale-sds-operator                               InfoScale™ SDS Operator                                               fast
infrastructure-asset-orchestrator-certified          Infrastructure Asset Orchestrator                                     stable
instana-agent-operator                               Instana Agent Operator                                                stable
intel-device-plugins-operator                        Intel Device Plugins Operator                                         alpha
intel-kubernetes-power-manager                       Intel Kubernetes Power Manager                                        alpha
iomesh-operator                                      IOMesh Operator                                                       stable
joget-dx-operator                                    Joget DX Operator                                                     alpha
joget-dx8-openshift-operator                         Joget DX 8 Operator                                                   alpha
joget-dx8-operator                                   Joget DX 8 Operator                                                   alpha
k8s-triliovault                                      Trilio for Kubernetes                                                 4.0.x
keysight-ati-updates                                 Keysight ATI Updates Operator                                         alpha
keysight-kcos-framework                              Keysight KCOS Framework Operator                                      alpha
keysight-kcos-ingress                                Keysight KCOS Ingress Operator                                        alpha
keysight-kcos-licensing                              Keysight KCOS Licensing Operator                                      alpha
keysight-kcos-sso                                    Keysight KCOS SSO Operator                                            alpha
keysight-keycloak-operator                           Keysight Keycloak Operator                                            alpha
keysight-load-core                                   Keysight LoadCore Operator                                            alpha
keysight-loadcore-agents                             Keysight LoadCore Agents Operator                                     alpha
keysight-nats-operator                               Keysight Nats Operator                                                alpha
keysight-nimbusmosaic-dusim                          Keysight Nimbus Mosaic DUSim Operator                                 alpha
keysight-rest-api-browser-v1                         Keysight Rest API Browser Operator v1                                 alpha
keysight-wap-appsec                                  Keysight WAP APPSEC Operator                                          alpha
keysight-wap-core                                    Keysight WAP Core Operator                                            alpha
keysight-wap-db                                      Keysight WAP DB Operator                                              alpha
keysight-wap-diagnostics                             Keysight WAP Diagnostics Operator                                     alpha
keysight-wap-logging                                 Keysight WAP Logging Operator                                         alpha
keysight-wap-migration                               Keysight WAP Migration Operator                                       alpha
keysight-wap-msg-broker                              Keysight WAP Message Broker Operator                                  alpha
keysight-wap-notifications                           Keysight WAP Notifications Operator                                   alpha
keysight-wap-stats-dashboards                        Keysight WAP Stats Dashboard Operator                                 alpha
keysight-wap-storage                                 Keysight WAP Storage Operator                                         alpha
keysight-wap-test-core                               Keysight WAP Test Core Operator                                       alpha
keysight-wap-ui                                      Keysight WAP UI Operator                                              alpha
keysight-websocket-service                           Keysight Websocket Operator                                           alpha
kong-gateway-operator                                Kong                                                                  alpha
kove-operator                                        Kove:SDM™ Operator                                                    stable
kubearmor-operator-certified                         KubeArmor Operator                                                    stable
kubecost-operator                                    Kubecost                                                              alpha
kubemq-operator-marketplace                          Kubemq Enterprise Operator                                            alpha
kubeturbo-certified                                  Kubeturbo Operator                                                    stable
leaksignal-operator                                  LeakSignal Operator                                                   stable
lenovo-locd-operator                                 lenovo-locd-operator                                                  alpha
marketplace-games-operator                           Arcade Operator                                                       alpha
memcached-operator-ogaye                             memcached-operator-ogaye                                              alpha
memory-machine-operator                              Memory Machine Operator                                               alpha
minio-aistor-operator                                Minio Aistor Operator                                                 stable
minio-operator                                       Minio Operator                                                        stable
