NAME                                       DISPLAY NAME                                                      DEFAULT CHANNEL
3scale-community-operator                  3scale API Management                                             threescale-2.13
ack-acm-controller                         AWS Controllers for Kubernetes - Amazon ACM                       alpha
ack-apigatewayv2-controller                AWS Controllers for Kubernetes - Amazon API Gateway v2            alpha
ack-applicationautoscaling-controller      AWS Controllers for Kubernetes - Amazon Application Auto Scaling  alpha
ack-cloudtrail-controller                  AWS Controllers for Kubernetes - Amazon CloudTrail                alpha
ack-cloudwatch-controller                  AWS Controllers for Kubernetes - Amazon CloudWatch                alpha
ack-dynamodb-controller                    AWS Controllers for Kubernetes - Amazon DynamoDB                  alpha
ack-ec2-controller                         AWS Controllers for Kubernetes - Amazon EC2                       alpha
ack-ecr-controller                         AWS Controllers for Kubernetes - Amazon ECR                       alpha
ack-eks-controller                         AWS Controllers for Kubernetes - Amazon EKS                       alpha
ack-elasticache-controller                 AWS Controllers for Kubernetes - Amazon ElastiCache               alpha
ack-emrcontainers-controller               AWS Controllers for Kubernetes - Amazon EMR on EKS                alpha
ack-eventbridge-controller                 AWS Controllers for Kubernetes - Amazon EventBridge               alpha
ack-iam-controller                         AWS Controllers for Kubernetes - Amazon IAM                       alpha
ack-kinesis-controller                     AWS Controllers for Kubernetes - Amazon Kinesis                   alpha
ack-kms-controller                         AWS Controllers for Kubernetes - Amazon KMS                       alpha
ack-lambda-controller                      AWS Controllers for Kubernetes - Amazon Lambda                    alpha
ack-memorydb-controller                    AWS Controllers for Kubernetes - MemoryDB                         alpha
ack-mq-controller                          AWS Controllers for Kubernetes - Amazon MQ                        alpha
ack-opensearchservice-controller           AWS Controllers for Kubernetes - Amazon OpenSearch Service        alpha
ack-pipes-controller                       AWS Controllers for Kubernetes - Amazon Pipes                     alpha
ack-prometheusservice-controller           AWS Controllers for Kubernetes - Amazon Prometheus                alpha
ack-rds-controller                         AWS Controllers for Kubernetes - Amazon RDS                       alpha
ack-route53-controller                     AWS Controllers for Kubernetes - Amazon Route53                   alpha
ack-route53resolver-controller             AWS Controllers for Kubernetes - Amazon Route53Resolver           alpha
ack-s3-controller                          AWS Controllers for Kubernetes - Amazon S3                        alpha
ack-sagemaker-controller                   AWS Controllers for Kubernetes - Amazon SageMaker                 alpha
ack-secretsmanager-controller              AWS Controllers for Kubernetes - Amazon Secrets Manager           alpha
ack-sfn-controller                         AWS Controllers for Kubernetes - Amazon Step Functions            alpha
ack-sns-controller                         AWS Controllers for Kubernetes - Amazon SNS                       alpha
ack-sqs-controller                         AWS Controllers for Kubernetes - Amazon SQS                       alpha
aerospike-kubernetes-operator              Aerospike Kubernetes Operator                                     stable
airflow-helm-operator                      Airflow Helm Operator                                             alpha
alvearie-imaging-ingestion                 Alvearie Imaging Ingestion Operator                               alpha
annotationlab                              NLP Lab                                                           alpha
apicast-community-operator                 APIcast                                                           stable
apicurio-registry                          Apicurio Registry Operator                                        2.x
apicurito                                  API Designer                                                      latest
apimatic-kubernetes-operator               APIMatic Operator                                                 alpha
application-services-metering-operator     Application Services Metering Operator                            alpha
aqua                                       Aqua Security Operator                                            2022.4.0
argocd-operator                            Argo CD                                                           alpha
assisted-service-operator                  Infrastructure Operator for Red Hat OpenShift                     ocm-2.9
authorino-operator                         Authorino Operator                                                stable
aws-efs-operator                           AWS EFS Operator                                                  stable
awss3-operator-registry                    AWS S3 Operator                                                   alpha
awx-operator                               AWX                                                               alpha
azure-service-operator                     Azure Service Operator                                            stable
beegfs-csi-driver-operator                 BeeGFS CSI Driver                                                 stable
bookkeeper-operator                        BookKeeper Operator                                               stable
camel-k                                    Camel K Operator                                                  stable-2.0
camel-karavan-operator                     Camel Karavan Operator                                            alpha
cass-operator-community                    DataStax Kubernetes Operator for Apache Cassandra                 stable
cert-manager                               cert-manager                                                      stable
cert-utils-operator                        Cert Utils Operator                                               alpha
cluster-aas-operator                       Cluster as a service operator                                     alpha
cluster-impairment-operator                cluster-impairment-operator                                       beta
cluster-manager                            Cluster Manager                                                   stable
cluster-relocation-operator                Cluster Relocation Operator                                       stable
cockroachdb                                CockroachDB Helm Operator                                         stable-v6.x
codeflare-operator                         CodeFlare Operator                                                alpha
community-kubevirt-hyperconverged          KubeVirt HyperConverged Cluster Operator                          stable
community-trivy-operator                   Community Trivy Operator                                          stable
community-windows-machine-config-operator  Community Windows Machine Config Operator                         preview
dapr-kubernetes-operator                   Dapr Control Plane Operator                                       alpha
datadog-operator                           Datadog Operator                                                  stable
datatrucker-operator                       DataTrucker.IO                                                    alpha
dbaas-operator                             OpenShift Database Access Operator                                stable
debezium-operator                          Debezium Operator                                                 debezium-latest
dell-csi-operator                          Dell CSI Operator                                                 stable
dell-csm-operator                          Dell Container Storage Modules                                    stable
deployment-validation-operator             Deployment Validation Operator                                    alpha
devopsinabox                               Devops-in-a-box                                                   alpha
dynatrace-operator                         Dynatrace Operator                                                alpha
eclipse-amlen-operator                     eclipse-amlen-operator                                            alpha
eclipse-che                                Eclipse Che                                                       stable
ecr-secret-operator                        ECR Secret Operator                                               v0.4
edp-keycloak-operator                      EDP Keycloak Operator                                             alpha
eginnovations-operator                     eG Innovations Universal Agent Operator                           beta
egressip-ipam-operator                     Egressip Ipam Operator                                            alpha
ember-csi-community-operator               Ember CSI Operator                                                beta
etcd                                       etcd                                                              singlenamespace-alpha
eventing-kogito                            Kogito Knative Eventing Source                                    alpha
external-secrets-operator                  External Secrets Operator                                         alpha
falcon-operator                            CrowdStrike Falcon Platform - Operator                            alpha
fence-agents-remediation                   Fence Agents Remediation Operator - Community Edition             stable
flink-kubernetes-operator                  Flink Kubernetes Operator                                         alpha
flux                                       Flux                                                              stable
forklift-operator                          Forklift Operator                                                 stable-v2.5
fossul-operator                            Fossul Operator                                                   alpha
gingersnap                                 gingersnap Operator                                               alpha
github-arc-operator                        github-arc-operator                                               alpha
gitlab-operator-kubernetes                 GitLab                                                            stable
gitlab-runner-operator                     GitLab Runner                                                     stable
gitops-primer                              gitops-primer                                                     alpha
gitwebhook-operator                        GitWebhook operator                                               alpha
global-load-balancer-operator              Global Load Balancer Operator                                     alpha
grafana-operator                           Grafana Operator                                                  v4
group-sync-operator                        Group Sync Operator                                               alpha
hawtio-operator                            Hawtio Operator                                                   alpha
hazelcast-platform-operator                Hazelcast Platform Operator                                       alpha
hedvig-operator                            Hedvig Operator                                                   stable
hive-operator                              Hive for Red Hat OpenShift                                        alpha
horreum-operator                           Horreum                                                           alpha
hyperfoil-bundle                           Hyperfoil                                                         alpha
ibm-block-csi-operator-community           IBM block storage CSI driver operator                             stable
ibm-security-verify-access-operator        IBM Security Verify Access Operator                               stable
