NAME                                          DISPLAY NAME                                             DEFAULT CHANNEL
3scale-operator                               Red Hat Integration - 3scale                             threescale-2.13
advanced-cluster-management                   Advanced Cluster Management for Kubernetes               release-2.8
amq-broker-rhel8                              Red Hat Integration - AMQ Broker for RHEL 8 (Multiarch)  7.11.x
amq-online                                    Red Hat Integration - AMQ Online                         stable
amq-streams                                   AMQ Streams                                              stable
amq7-interconnect-operator                    Red Hat Integration - AMQ Interconnect                   1.10.x
ansible-automation-platform-operator          Ansible Automation Platform                              stable-2.4-cluster-scoped
ansible-cloud-addons-operator                 Ansible Cloud Addons                                     stable-2.4-cluster-scoped
apicast-operator                              Red Hat Integration - 3scale APIcast gateway             threescale-2.13
aws-efs-csi-driver-operator                   AWS EFS CSI Driver Operator                              stable
aws-load-balancer-operator                    AWS Load Balancer Operator                               stable-v1
bamoe-businessautomation-operator             IBM Business Automation                                  8.x-stable
bamoe-kogito-operator                         IBM BAMOE Kogito Operator                                8.x
bare-metal-event-relay                        Bare Metal Event Relay                                   stable
businessautomation-operator                   Business Automation                                      stable
cincinnati-operator                           OpenShift Update Service                                 v1
cluster-kube-descheduler-operator             Kube Descheduler Operator                                stable
cluster-logging                               Red Hat OpenShift Logging                                stable
clusterresourceoverride                       ClusterResourceOverride Operator                         stable
compliance-operator                           Compliance Operator                                      stable
container-security-operator                   Red Hat Quay Container Security Operator                 stable-3.9
costmanagement-metrics-operator               Cost Management Metrics Operator                         stable
cryostat-operator                             Red Hat build of Cryostat                                stable
datagrid                                      Data Grid                                                8.4.x
devspaces                                     Red Hat OpenShift Dev Spaces                             stable
devworkspace-operator                         DevWorkspace Operator                                    fast
dpu-network-operator                          DPU Network Operator                                     stable
eap                                           JBoss EAP                                                stable
elasticsearch-operator                        OpenShift Elasticsearch Operator                         stable
external-dns-operator                         ExternalDNS Operator                                     stable-v1
fence-agents-remediation                      Fence Agents Remediation Operator                        stable
file-integrity-operator                       File Integrity Operator                                  stable
fuse-apicurito                                Red Hat Integration - API Designer                       fuse-apicurito-7.12.x
fuse-console                                  Red Hat Integration - Fuse Console                       7.12.x
fuse-online                                   Red Hat Integration - Fuse Online                        latest
gatekeeper-operator-product                   Gatekeeper Operator                                      stable
gcp-filestore-csi-driver-operator             GCP Filestore CSI Driver Operator                        stable
ingress-node-firewall                         Ingress Node Firewall Operator                           stable
jaeger-product                                Red Hat OpenShift distributed tracing platform           stable
jws-operator                                  JWS Operator                                             alpha
kernel-module-management                      Kernel Module Management                                 stable
kernel-module-management-hub                  Kernel Module Management (Hub)                           stable
kiali-ossm                                    Kiali Operator                                           stable
klusterlet-product                            Klusterlet                                               stable-2.3
kubernetes-nmstate-operator                   Kubernetes NMState Operator                              stable
kubevirt-hyperconverged                       OpenShift Virtualization                                 stable
local-storage-operator                        Local Storage                                            stable
loki-operator                                 Loki Operator                                            stable
lvms-operator                                 LVM Storage                                              stable-4.12
